name,country,status,match_title,score,image
Floris Chocolat,Bélgica,fallback,,,
Floris Fraise,Bélgica,fallback,,,
Floris Framboise,Bélgica,fallback,,,
Floris Honey,Bélgica,fallback,,,
Floris Kriek,Bélgica,fallback,,,
Floris Mango,Bélgica,fallback,,,
Floris Ninkeberry,Bélgica,fallback,,,
Floris Passion,Bélgica,fallback,,,
Floris Wit Blanche,Bélgica,fallback,,,
Flying Dog Doggie Style Classic Pale Ale,Estados Unidos,fallback,,,
Flying Dog Double Dog Double Pale Ale,Estados Unidos,fallback,,,
Flying Dog Gonzo Imperial Porter,Estados Unidos,fallback,,,
Flying Dog Old Scratch Amber Lager,Estados Unidos,fallback,,,
Flying Dog Racing Bitch India Pale Ale,Estados Unidos,fallback,,,
Flying Dog Snake Dog India Pale Ale,Estados Unidos,fallback,,,
Flying Dog Wildemans Framhouse India Pale Ale,Estados Unidos,fallback,,,
Foster's,Australia,found,File:Kotipizza Mexicana and Foster's Lager.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Kotipizza_Mexicana_and_Foster%27s_Lager.jpg/500px-Kotipizza_Mexicana_and_Foster%27s_Lager.jpg
Franciskaner Hefe Weissbier,Alemania,fallback,,,
Franciskaner Hefe Weissbier Dunkel,Alemania,fallback,,,
Franciskaner Hefe Weissbier Kristallklar,Alemania,fallback,,,
Fraoch Heather Ale,Reino Unido,fallback,,,
Fürst Carl Gol (Principe Carlos),Alemania,fallback,,,
Fürst Carl Urhell (Principe Carlos),Alemania,fallback,,,
Fürstenberg,Alemania,found,File:Donaueschingen Fürstenberg und Riegeler Kästen.jpg,175.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Donaueschingen_F%C3%BCrstenberg_und_Riegeler_K%C3%A4sten.jpg/500px-Donaueschingen_F%C3%BCrstenberg_und_Riegeler_K%C3%A4sten.jpg
Fürstenberg Weizen,Alemania,fallback,,,
Gordon Finest Gold,Bélgica,found,File:Gordon Finest Gold.JPG,175.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Gordon_Finest_Gold.JPG/500px-Gordon_Finest_Gold.JPG
Gordon Finest Platinum,Bélgica,fallback,,,
Gordon Finest Red,Bélgica,fallback,,,
Gordon Finest Silver,Bélgica,fallback,,,
Gordon Five,Bélgica,fallback,,,
Gordon Halloween,Bélgica,fallback,,,
Gordon Highland Scotch Ale,Bélgica,fallback,,,
Gordon Xmas,Bélgica,fallback,,,
Goudenband,Bélgica,found,File:LiefmansGoudenband.jpg,95.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/LiefmansGoudenband.jpg/500px-LiefmansGoudenband.jpg
Gouyasse Blonde,Bélgica,fallback,,,
Gouyasse Triple,Bélgica,fallback,,,
Gran Resrva (Cruzcampo),España,fallback,,,
Green Flash Barley Wine,Estados Unidos,fallback,,,
Green Flash Double Stout,Estados Unidos,fallback,,,
Green Flash West Coast IPA,Estados Unidos,fallback,,,
Gregorius,Austria,found,File:Trappist Gregorius.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Trappist_Gregorius.jpg/500px-Trappist_Gregorius.jpg
Grimbergen Blond,Bélgica,found,File:Grimbergen blond.1.JPG,175.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Grimbergen_blond.1.JPG/500px-Grimbergen_blond.1.JPG
Grimbergen Duble,Bélgica,fallback,,,
Grimbergen Optimo Bruno,Bélgica,found,File:Grimbergen Optimo Bruno.1.JPG,175.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Grimbergen_Optimo_Bruno.1.JPG/500px-Grimbergen_Optimo_Bruno.1.JPG
Grimbergen Triple,Bélgica,found,File:Grimbergen tripel.1.JPG,129.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Grimbergen_tripel.1.JPG/500px-Grimbergen_tripel.1.JPG
Grolsch,Países Bajos,found,existing,,https://commons.wikimedia.org/wiki/Special:FilePath/Grolsch%20Logo.png
Grutt Amber,Bélgica,fallback,,,
Grutt Blond,Bélgica,fallback,,,
Grutt Witbeer,Bélgica,fallback,,,
Guinness Special Export,Irlanda,fallback,,,
Gulden Draak,Bélgica,found,existing,,https://commons.wikimedia.org/wiki/Special:FilePath/Guldendraak.jpg
Guldenberg,Bélgica,found,File:Guldenberg beer.JPG,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Guldenberg_beer.JPG/500px-Guldenberg_beer.JPG
Hannen Alt,Alemania,found,"File:Hannen - Alt, 2019.jpg",175.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Hannen_-_Alt%2C_2019.jpg/500px-Hannen_-_Alt%2C_2019.jpg
